factor_id,factor_name,factor_group,factor_type,current_status,official_weight,shadow_weight,max_allowed_weight,data_source,output_source,used_in_official_ranking,used_in_risk_gate,used_in_shadow_report,future_leak_risk,future_leak_reason,economic_rationale,mathematical_or_empirical_basis,historical_evidence_level,asof_backtest_ready,walk_forward_ready,live_forward_ready,live_forward_sample_count,pending_forward_sample_count,drawdown_relevance,benchmark_relevance,promotion_verdict,demotion_rule,notes
buy_risk_score,Buy Risk Score,ACTION_RESPONSE,ACTION_RESPONSE_CONTROL,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Structures human-readable action response and execution preparedness.,Action layer or trade-plan fields.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Action response remains advisory/read-center only.
entry_strategy,Entry Strategy,ACTION_RESPONSE,ACTION_RESPONSE_CONTROL,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Structures human-readable action response and execution preparedness.,Action layer or trade-plan fields.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Action response remains advisory/read-center only.
exit_plan_present,Exit Plan Present,ACTION_RESPONSE,ACTION_RESPONSE_CONTROL,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Structures human-readable action response and execution preparedness.,Action layer or trade-plan fields.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Action response remains advisory/read-center only.
exit_strategy,Exit Strategy,ACTION_RESPONSE,ACTION_RESPONSE_CONTROL,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Structures human-readable action response and execution preparedness.,Action layer or trade-plan fields.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Action response remains advisory/read-center only.
hold_risk_score,Hold Risk Score,ACTION_RESPONSE,ACTION_RESPONSE_CONTROL,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Structures human-readable action response and execution preparedness.,Action layer or trade-plan fields.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Action response remains advisory/read-center only.
sell_risk_score,Sell Risk Score,ACTION_RESPONSE,ACTION_RESPONSE_CONTROL,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Structures human-readable action response and execution preparedness.,Action layer or trade-plan fields.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Action response remains advisory/read-center only.
factor_pack_rank,Factor Pack Rank,ALPHA,OFFICIAL_RANK,OFFICIAL_ACTIVE,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,TRUE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Orders candidates after official score computation.,Existing official ranked-candidate ordering field.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Official current ranking input inventory; V18.47A records status only.
factor_pack_score,Factor Pack Score,ALPHA,OFFICIAL_SCORE,OFFICIAL_ACTIVE,CURRENT_SYSTEM_WEIGHT,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,TRUE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Aggregates approved factor-pack signals into the official candidate score.,Existing official ranking chain field.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Official current ranking input inventory; V18.47A records status only.
actionable_allowed_by_freshness,Actionable Allowed By Freshness,DATA_QUALITY,CURRENT_FRESHNESS_GATE,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Prevents stale or non-actionable data from being treated as current.,Current freshness/readiness controls.,OPERATIONAL_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,"Freshness is a gate/control, not an alpha factor."
blocking_current_failure_count,Blocking Current Failure Count,DATA_QUALITY,SYSTEM_TRUST_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Protects current outputs from known data, chain, or universe-quality failures.",Operational readiness and trust checks.,OPERATIONAL_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Trust and quality controls are not alpha factors.
