ticker,company_name,primary_theme,secondary_theme,industry_group,exposure_tags,role_bucket,cyclicality_bucket,volatility_bucket,liquidity_bucket,manual_review_required,notes
VIAV,Viavi Solutions Inc.,DATA_INFRASTRUCTURE,Network test and optical technology,Communications Equipment,network_test;optical;telecom,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SITM,SiTime Corporation,SEMICONDUCTOR,Precision timing semiconductors,Semiconductors,timing_chips;analog,SPECULATIVE_SATELLITE,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TSEM,Tower Semiconductor Ltd.,SEMICONDUCTOR,Specialty semiconductor foundry,Semiconductors,specialty_foundry;analog,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
STM,STMicroelectronics N.V.,SEMICONDUCTOR,Auto and industrial semiconductors,Semiconductors,auto_semis;industrial;sic,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
BW,Babcock & Wilcox Enterprises Inc.,POWER_INFRASTRUCTURE,Power and environmental equipment,Power Equipment,power_equipment;industrial,SPECULATIVE_SATELLITE,CYCLICAL,EXTREME,MEDIUM,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PLUG,Plug Power Inc.,ENERGY,Hydrogen fuel cells,Clean Energy,hydrogen;fuel_cell,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TTMI,TTM Technologies Inc.,ELECTRONICS_SUPPLY_CHAIN,Printed circuit boards,Electronic Components,pcb;aerospace;datacenter,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TWLO,Twilio Inc.,SOFTWARE,Cloud communications software,Application Software,cpaas;communications_software,SPECULATIVE_SATELLITE,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
HTZ,Hertz Global Holdings Inc.,TRANSPORTATION,Car rental,Rental Services,travel;fleet;autos,TACTICAL_BETA,CYCLICAL,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PUMP,ProPetro Holding Corp.,ENERGY,Oilfield services,Oilfield Services,pressure_pumping;shale,TACTICAL_BETA,COMMODITY_CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
OLPX,Olaplex Holdings Inc.,CONSUMER,Beauty products,Personal Care,beauty;consumer,SPECULATIVE_SATELLITE,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
APLD,Applied Digital Corporation,AI_INFRASTRUCTURE,AI data centers,Data Center Infrastructure,ai_datacenter;hosting,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
U,Unity Software Inc.,SOFTWARE,Game engine and real-time 3D software,Application Software,game_engine;3d_software,SPECULATIVE_SATELLITE,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SMTC,Semtech Corporation,SEMICONDUCTOR,Analog and mixed-signal semiconductors,Semiconductors,analog;iot;connectivity,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SEI,SolarEdge Technologies Inc.,ENERGY,Solar power electronics,Clean Energy,solar;inverters,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SATS,EchoStar Corporation,DATA_INFRASTRUCTURE,Satellite communications,Telecommunications,satellite;wireless,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
