script_path,script_type,matched_terms,likely_role,proxy_requirement_detected,exact_reference_lines_or_short_snippets,confidence
D:\us-tech-quant\scripts\v18\v18_10A_factor_registry_coverage_audit.py,factor,"market_regime, qqq, vix, vix_regime, volatility",Factor generator or factor-adjacent consumer,TRUE,"131:""formula_note"": ""Compares ticker performance against QQQ/XLK/SMH/SOXX or peer group."", | 185:""factor_name"": ""volatility_penalty"", | 194:""data_source"": ""realized volatility / beta / leveraged ETF flag"",",HIGH
D:\us-tech-quant\scripts\v18\v18_10A_R2_factor_daily_capture_patch.py,factor,qqq,Factor generator or factor-adjacent consumer,TRUE,"132:20: find_col(fields, [""benchmark_return_20d"", ""bench_return_20d"", ""benchmark_ret_20d"", ""qqq_return_20d"", ""qqq_ret_20d""]), | 133:60: find_col(fields, [""benchmark_return_60d"", ""bench_return_60d"", ""benchmark_ret_60d"", ""qqq_return_60d"", ""qqq_ret_60d""]), | 134:120: find_col(fields, [""benchmark_return_120d"", ""bench_return_120d"", ""benchmark_ret_120d"", ""qqq_return_120d"", ""qqq_ret_120d""]),",HIGH
D:\us-tech-quant\scripts\v18\v18_10B_factor_effectiveness_backtest.py,factor,"volatility, vx",Factor generator or factor-adjacent consumer,FALSE,130:vx = sum((x - mx) ** 2 for x in xs) | 132:if vx <= 0 or vy <= 0: | 135:return cov / math.sqrt(vx * vy),MEDIUM
D:\us-tech-quant\scripts\v18\v18_10C_weight_research_engine.py,unknown,volatility,Script references proxy/timing terms but role is unclear,FALSE,"249:""volatility_penalty"", | 279:""volatility_penalty"", | 305:""description"": ""Higher pullback, overheat, and volatility control; lower momentum."",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_11_calendar_vwap_rv_shadow_factors.py,factor,volatility,Factor generator or factor-adjacent consumer,FALSE,"59:""factor_name"": ""realized_volatility_factor"", | 60:""factor_group"": ""realized_volatility"", | 415:elif name == ""realized_volatility_factor"":",MEDIUM
D:\us-tech-quant\scripts\v18\v18_11E_shadow_factor_summary.py,factor,volatility,Factor generator or factor-adjacent consumer,FALSE,"97:status=row.get(""vwap_proxy_status"", """") if ""vwap"" in metric else row.get(""realized_volatility_status"", """"), | 178:high_rv = metric_rows(""top_10_realized_volatility"", deduped, ""realized_volatility_factor"", True, note=""Daily close realized volatility."") | 265:""## 6. Top 10 Realized Volatility"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_12B_sell_timing_technical_label_integration.py,technical,"vix, volatility",Technical timing generator or consumer,TRUE,"230:if ""REALIZED_VOLATILITY"" in blob and (""SPIKE"" in blob or ""HIGH"" in blob): | 248:rv = as_float(row.get(""realized_volatility_factor"")) | 302:if ticker in LABEL_TERMS or ticker in {""VIX"", ""CSV"", ""READ"", ""FIRST"", ""NONE"", ""TRUE"", ""FALSE""}:",HIGH
D:\us-tech-quant\scripts\v18\v18_15C_predevelopment_program_audit.py,unknown,volatility,Script references proxy/timing terms but role is unclear,FALSE,"94:""volatility"": (""volatility"", ""atr"", ""rv"", ""stdev"", ""sigma""),",MEDIUM
D:\us-tech-quant\scripts\v18\v18_16A_universe_rolling_state_builder.py,unknown,qqq,Script references proxy/timing terms but role is unclear,TRUE,"62:""relative_strength_vs_qqq"",",HIGH
D:\us-tech-quant\scripts\v18\v18_16C_scan_scoped_data_update.py,unknown,qqq,Script references proxy/timing terms but role is unclear,TRUE,"465:technical_names = [""ret_5d"", ""ret_20d"", ""ret_60d"", ""ret_120d"", ""above_ma20"", ""above_ma60"", ""above_ma120"", ""ma20"", ""ma60"", ""ma120"", ""relative_strength"", ""rs_vs_qqq"", ""rs_vs_smh""]",HIGH
D:\us-tech-quant\scripts\v18\v18_16D_priority_based_light_scanner.py,unknown,"qqq, volatility",Script references proxy/timing terms but role is unclear,TRUE,"31:""simple_volatility_20d"", ""relative_strength_vs_qqq"", ""relative_strength_vs_smh"", | 32:""relative_strength_vs_xlk"", ""volume_surge_score"", ""volatility_status"", | 269:row[""simple_volatility_20d""] = f""{pstdev(returns20):.6f}"" if len(returns20) > 1 else """"",HIGH
D:\us-tech-quant\scripts\v18\v18_16E_promotion_demotion_engine.py,unknown,qqq,Script references proxy/timing terms but role is unclear,TRUE,"44:""relative_strength_vs_qqq"", ""relative_strength_vs_smh"", ""volume_surge_score"", | 232:for col, pts in [(""ret_20d"", 10), (""ret_60d"", 15), (""ret_120d"", 10), (""relative_strength_vs_qqq"", 15), (""relative_strength_vs_smh"", 10)]: | 276:for col, pts in [(""ret_20d"", 10), (""ret_60d"", 15), (""relative_strength_vs_qqq"", 15)]:",HIGH
D:\us-tech-quant\scripts\v18\v18_17A_ranking_factor_provenance_audit.py,factor,"qqq, volatility",Factor generator or factor-adjacent consumer,TRUE,"25:""RELATIVE_STRENGTH"": [""relative_strength"", ""rs_"", ""vs_qqq"", ""vs_smh"", ""rs_score""], | 34:""VOLATILITY"": [""volatility""],",HIGH
D:\us-tech-quant\scripts\v18\v18_18F_technical_timing_current_detail_slimming.py,technical,"qqq, spy",Technical timing generator or consumer,TRUE,"203:""benchmark"": first_contains(fields, [""benchmark"", ""qqq"", ""spy"", ""smh""]),",HIGH
D:\us-tech-quant\scripts\v18\v18_21A_price_derived_factor_pack.py,factor,"^vix, market_regime, qqq, spy, vix, vix_regime, volatility",Factor generator or factor-adjacent consumer,TRUE,"38:""qqq_return_20d"", | 39:""qqq_return_60d"", | 40:""relative_strength_20d_vs_qqq"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21A_R1_data_coverage_scoring_patch.py,unknown,"market_regime, qqq, spy, vix, volatility",Script references proxy/timing terms but role is unclear,TRUE,"70:""vix_missing_cap_applied"", | 73:""market_regime_confidence"", | 93:""QQQ_PROXY_STATUS"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21A_R2_price_history_source_coverage_patch.py,unknown,"^vix, market_regime, qqq, spy, vix, volatility",Script references proxy/timing terms but role is unclear,TRUE,"75:""can_compute_relative_strength_vs_qqq"", | 93:""qqq_history_source"", | 94:""spy_history_source"",",HIGH
