portfolio_id,portfolio_name_cn,construction_method,source_scope,target_count,actual_holding_count,readiness_status,weighting_method,weighting_fallback_used,official_decision_impact,notes
TOP20_EQUAL_WEIGHT,Top20 等权篮子,TOP_N_EQUAL_WEIGHT,CURRENT_RANKED_CANDIDATES,20,20,READY,EQUAL_WEIGHT,FALSE,NONE,当前排名前 20 的等权研究篮子。
TOP50_EQUAL_WEIGHT,Top50 等权篮子,TOP_N_EQUAL_WEIGHT,CURRENT_RANKED_CANDIDATES,50,50,READY,EQUAL_WEIGHT,FALSE,NONE,当前排名前 50 的等权研究篮子。
TOP100_EQUAL_WEIGHT,Top100 等权篮子,TOP_N_EQUAL_WEIGHT,CURRENT_RANKED_CANDIDATES,100,100,READY,EQUAL_WEIGHT,FALSE,NONE,当前排名前 100 的等权研究篮子。
FULL318_EQUAL_WEIGHT,全当前候选等权篮子,FULL_CURRENT_EQUAL_WEIGHT,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,FULL_OR_MOTIF,318,READY,EQUAL_WEIGHT,FALSE,NONE,当前可用完整候选宇宙的等权研究篮子。
TOP20_SCORE_WEIGHTED,Top20 分数加权篮子,TOP_N_SCORE_WEIGHTED,CURRENT_RANKED_CANDIDATES,20,20,READY,SCORE_WEIGHTED,FALSE,NONE,优先使用 composite_candidate_score 的分数加权研究篮子。
TOP50_SCORE_WEIGHTED,Top50 分数加权篮子,TOP_N_SCORE_WEIGHTED,CURRENT_RANKED_CANDIDATES,50,50,READY,SCORE_WEIGHTED,FALSE,NONE,优先使用 composite_candidate_score 的分数加权研究篮子。
TOP100_SCORE_WEIGHTED,Top100 分数加权篮子,TOP_N_SCORE_WEIGHTED,CURRENT_RANKED_CANDIDATES,100,100,READY,SCORE_WEIGHTED,FALSE,NONE,优先使用 composite_candidate_score 的分数加权研究篮子。
LOW_VOL_ADJUSTED_TOP50,低波动调整 Top50,LOW_VOL_ADJUSTED_TOP_N,CURRENT_RANKED_CANDIDATES_WITH_RISK_PROXY,50,50,READY,SCORE_X_RISK_PROXY,FALSE,NONE,仅在存在可用波动或风险代理字段时生成权重。
MOTIF_READY_EQUAL_WEIGHT,Ready Motif 等权篮子,READY_MOTIF_EQUAL_WEIGHT,V18_37A_READY_MOTIFS,FULL_OR_MOTIF,18,READY,EQUAL_WEIGHT,FALSE,NONE,只使用 V18.37A 标记为 READY/READY_REAL_EVIDENCE 的 motif 候选。
MOTIF_READY_TOPN_BLEND,Ready Motif TopN 混合篮子,READY_MOTIF_TOPN_BLEND,V18_37A_READY_MOTIFS,FULL_OR_MOTIF,18,READY,EQUAL_MOTIF_THEN_EQUAL_NAME,FALSE,NONE,每个 ready motif 先等权，再聚合到股票层面。
