safety_check,status,notes
EXTERNAL_DATA_FETCHED,PASS,FALSE
PRICE_CACHE_MODIFIED,PASS,FALSE
PRICE_HISTORY_WRITTEN,PASS,FALSE
STAGED_PRICE_HISTORY_WRITTEN,PASS,FALSE
FORWARD_RETURN_FILLED_COUNT,PASS,0
BACKTEST_EXECUTED,PASS,FALSE
BACKTEST_RESULTS_APPLIED,PASS,FALSE
FULL_HISTORY_BACKFILL_APPLIED,PASS,FALSE
STAGED_BACKFILL_APPLIED,PASS,FALSE
OFFICIAL_DECISION_IMPACT,PASS,NONE
BUY_PERMISSION_MODIFIED,PASS,FALSE
RANKING_MODIFIED,PASS,FALSE
SIGNAL_SNAPSHOT_MODIFIED,PASS,FALSE
FORWARD_TRACKER_MODIFIED,PASS,FALSE
AUTO_TRADE,PASS,DISABLED
AUTO_SELL,PASS,DISABLED
VALIDATION_POWERSHELL_PARSE_WRAPPER,PASS,Wrapper parses.
VALIDATION_PYTHON_COMPILE_SCRIPT,PASS,Python compiles.
VALIDATION_REQUIRED_OUTPUTS_EXIST,PASS,All required outputs exist.
VALIDATION_REQUIRED_READ_FIRST_FIELDS_EXIST,PASS,All required READ_FIRST fields exist.
VALIDATION_NO_PROTECTED_FILES_MODIFIED,PASS,Changed protected files: 
VALIDATION_NO_EXTERNAL_FETCH,PASS,No external data fetched.
VALIDATION_NO_BACKTEST_EXECUTION,PASS,No backtest executed or applied.
VALIDATION_NO_FORWARD_RETURN_FILL,PASS,No forward returns filled.
VALIDATION_CLAIMS_WEIGHTS_PROMOTIONS_BLOCKED,PASS,"Claims, weights, promotions blocked."
