ticker,recommendation_type,priority,reason,known_tier,known_score
AMC,NEEDS_OFFICIAL_INTEGRATION,HIGH,Staged evidence exists but official price cache is unavailable.,TIER_0_DATA_NOT_READY,
AMC,EMPTY_FETCH_OR_HOLD_REVIEW,HIGH,Staged status requires review: HOLD_SUSPICIOUS_PRICE_DATA,TIER_0_DATA_NOT_READY,
AMC,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
APLD,NEEDS_OFFICIAL_INTEGRATION,HIGH,Staged evidence exists but official price cache is unavailable.,TIER_0_DATA_NOT_READY,
APLD,EMPTY_FETCH_OR_HOLD_REVIEW,HIGH,Staged status requires review: HOLD_SUSPICIOUS_PRICE_DATA,TIER_0_DATA_NOT_READY,
APLD,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
BLSH,NEEDS_OFFICIAL_INTEGRATION,HIGH,Staged evidence exists but official price cache is unavailable.,TIER_0_DATA_NOT_READY,
BLSH,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
BW,NEEDS_OFFICIAL_INTEGRATION,HIGH,Staged evidence exists but official price cache is unavailable.,TIER_0_DATA_NOT_READY,
BW,EMPTY_FETCH_OR_HOLD_REVIEW,HIGH,Staged status requires review: HOLD_SUSPICIOUS_PRICE_DATA,TIER_0_DATA_NOT_READY,
BW,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
BYND,NEEDS_OFFICIAL_INTEGRATION,HIGH,Staged evidence exists but official price cache is unavailable.,TIER_0_DATA_NOT_READY,
BYND,EMPTY_FETCH_OR_HOLD_REVIEW,HIGH,Staged status requires review: HOLD_SUSPICIOUS_PRICE_DATA,TIER_0_DATA_NOT_READY,
BYND,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
CAI,NEEDS_OFFICIAL_INTEGRATION,HIGH,Staged evidence exists but official price cache is unavailable.,TIER_0_DATA_NOT_READY,
CAI,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
CDTX,NEEDS_OFFICIAL_INTEGRATION,HIGH,Staged evidence exists but official price cache is unavailable.,TIER_0_DATA_NOT_READY,
CDTX,EMPTY_FETCH_OR_HOLD_REVIEW,HIGH,Staged status requires review: HOLD_EMPTY_FETCH,TIER_0_DATA_NOT_READY,
CDTX,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
CFLT,NEEDS_OFFICIAL_INTEGRATION,HIGH,Staged evidence exists but official price cache is unavailable.,TIER_0_DATA_NOT_READY,
CFLT,EMPTY_FETCH_OR_HOLD_REVIEW,HIGH,Staged status requires review: HOLD_EMPTY_FETCH,TIER_0_DATA_NOT_READY,
CFLT,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
