signal_id,signal_date,ticker,company_name_en,company_name_zh,rank,rank_bucket,alpha_direction,alpha_confidence,confidence_score_numeric,expected_horizon,composite_candidate_score,factor_score,technical_timing_score,overheat_status,technical_tags,factor_tags,risk_tags,data_quality_tags,research_tags,freeze_status,latest_signal_freeze_count,paper_tracking_status,shadow_portfolio_membership_count,benchmark_context,forward_evidence_status,operator_action_hint,official_decision_impact,auto_trade,notes
V18_39A_2026-05-29_1_KEYS,2026-05-29,KEYS,,,1,TOP20,LONG_CANDIDATE,MEDIUM,57.4560,1D_5D,57.456,97.14,62.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_UPPER_HALF;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,10,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-29_2_VRT,2026-05-29,VRT,,,2,TOP20,LONG_CANDIDATE,MEDIUM,57.4000,1D_5D,57.4,100.0,58.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_LOWER_HALF;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;PULLBACK_IN_UPTREND,NOT_AVAILABLE_RESERVED;REVIEW_ONLY;WAIT_PULLBACK_REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,3,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-29_3_ICHR,2026-05-29,ICHR,,,3,TOP20,LONG_CANDIDATE,MEDIUM,56.6400,1D_5D,56.64,98.1,58.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_UPPER_HALF;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,8,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-29_4_NVDA,2026-05-29,NVDA,,,4,TOP20,LONG_CANDIDATE,MEDIUM,54.6200,1D_5D,54.62,99.05,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_MID;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;PULLBACK_IN_UPTREND,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,1,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-29_5_D,2026-05-29,D,,,5,TOP20,LONG_CANDIDATE,MEDIUM,53.9160,1D_5D,53.916,94.29,54.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_UPPER_HALF;RSI_STRONG,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,1,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-29_6_AMKR,2026-05-29,AMKR,,,6,TOP20,LONG_CANDIDATE,MEDIUM,53.5920,1D_5D,53.592,90.48,58.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_UPPER_HALF;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,8,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-29_7_GOOGL,2026-05-29,GOOGL,,,7,TOP20,LONG_CANDIDATE,MEDIUM,53.4760,1D_5D,53.476,96.19,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_MID;RSI_STRONG,OK_RECOMPUTED_FACTOR_TECHNICAL;PULLBACK_IN_UPTREND,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,1,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-29_8_FIX,2026-05-29,FIX,,,8,TOP20,LONG_CANDIDATE,MEDIUM,53.0960,1D_5D,53.096,95.24,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_MID;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,6,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-29_9_MCHP,2026-05-29,MCHP,,,9,TOP20,LONG_CANDIDATE,MEDIUM,52.4480,1D_5D,52.448,87.62,58.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_UPPER_HALF;RSI_STRONG,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,3,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-29_10_LITE,2026-05-29,LITE,,,10,TOP20,LONG_CANDIDATE,MEDIUM,52.3320,1D_5D,52.332,93.33,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_MID;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,10,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
