safety_check,status,notes
FORWARD_OUTCOME_FILLER_APPLIED,PASS,FORWARD_OUTCOME_FILLER_APPLIED is FALSE.
FORWARD_RETURN_FILLED_COUNT,PASS,FORWARD_RETURN_FILLED_COUNT is 0.
SHADOW_FORWARD_TRACKER_MODIFIED,PASS,SHADOW_FORWARD_TRACKER_MODIFIED is FALSE.
EXISTING_FORWARD_TRACKER_MODIFIED,PASS,EXISTING_FORWARD_TRACKER_MODIFIED is FALSE.
SIGNAL_SNAPSHOT_MODIFIED,PASS,SIGNAL_SNAPSHOT_MODIFIED is FALSE.
SIMULATION_POSITION_MODIFIED,PASS,SIMULATION_POSITION_MODIFIED is FALSE.
PRICE_CACHE_MODIFIED,PASS,PRICE_CACHE_MODIFIED is FALSE.
EXTERNAL_DATA_FETCHED,PASS,EXTERNAL_DATA_FETCHED is FALSE.
OFFICIAL_DECISION_IMPACT,PASS,OFFICIAL_DECISION_IMPACT is NONE.
AUTO_TRADE,PASS,AUTO_TRADE is DISABLED.
AUTO_SELL,PASS,AUTO_SELL is DISABLED.
VALIDATION_powershell_parse_wrapper,PASS,Wrapper parses.
VALIDATION_python_compile_script,PASS,Python script compiles.
VALIDATION_required_outputs_exist,PASS,All required outputs exist.
VALIDATION_required_read_first_fields_exist,PASS,All required READ_FIRST fields exist.
VALIDATION_shadow_row_count_expected,PASS,shadow_rows=525
VALIDATION_forward_return_filled_zero,PASS,No returns filled.
VALIDATION_protected_files_unchanged,PASS,Changed protected files: 
VALIDATION_external_data_not_fetched,PASS,No external data fetched.
VALIDATION_claims_weights_promotions_zero,PASS,"No claims, weights, or promotions allowed."
