factor_name,factor_group,factor_role,direction,current_weight,min_weight,max_weight,official_status,decision_impact,data_source,formula_note,principle,black_box_guard,aliases
trend_score,alpha,ranking,higher_is_better,0.25,0.15,0.35,official_candidate,ranking_only,price_history / daily_factor_snapshot,Measures medium-term price trend strength using multi-window returns or trend features.,Trend persistence: strong assets often continue outperforming for a period.,Formula and source must be visible. Cannot be optimized without factor effectiveness report.,trend_score|trend_strength_score|trend|trend_strength|trend_rank
relative_strength_score,alpha,ranking,higher_is_better,0.2,0.1,0.3,official_candidate,ranking_only,asset_return vs benchmark_return,Compares ticker performance against QQQ/XLK/SMH/SOXX or peer group.,Leaders tend to outperform benchmarks and sector peers during durable themes.,Benchmark must be named. Relative window must be recorded.,relative_strength_score|relative_strength|rs_score|rs_rank|relative_strength_rank
pullback_quality_score,alpha,ranking,higher_is_better,0.2,0.1,0.3,official_candidate,ranking_only,price drawdown from recent high / pullback trigger table,Rewards strong assets that have pulled back into a better risk-reward area.,Improves entry quality. Strong asset plus better entry is preferable to chasing highs.,Pullback anchor and trigger distance must be auditable.,pullback_quality_score|pullback_score|pullback_quality|pullback_watch|drawdown_from_high
momentum_continuation_score,alpha,ranking,higher_is_better,0.15,0.05,0.25,official_candidate,ranking_only,recent returns / breakout continuation features,Measures whether recent strength is continuing rather than fading.,Information and institutional flows are often incorporated gradually.,Cannot dominate trend and pullback weights. Max weight capped.,momentum_continuation_score|momentum_score|momentum|breakout_continuation|short_momentum
overheat_penalty,risk,penalty,lower_is_better,0.1,0.05,0.2,official_candidate,ranking_penalty,multi-window returns / RSI / Bollinger extension / technical timing labels,Penalizes excessive recent rise or stretched technical condition.,Mean reversion and crowding risk after extreme short-term moves.,Penalty thresholds must be explicit. It cannot silently become a buy/sell model.,overheat_penalty|overheat_score|overheat|old_overheat|overheat_unclassified|exhaustion_risk
volatility_penalty,risk,penalty,lower_is_better,0.05,0.0,0.15,official_candidate,ranking_penalty_or_position_control,realized volatility / beta / leveraged ETF flag,"Penalizes unstable names, high beta, or leveraged instruments.",High volatility increases drawdown and behavioral execution risk.,Volatility window and beta source must be visible.,volatility_penalty|volatility_score|volatility|beta|risk_score|high_beta
execution_fit,execution,ranking_auxiliary,higher_is_better,0.05,0.0,0.1,official_candidate,ranking_auxiliary_or_post_filter,cash / share price / broker constraints / FX buffer,Measures whether the ticker can be realistically bought under current account constraints.,"Executable strategy must respect one-share minimum, cash, buffer, and broker constraints.",Execution fit is not alpha. It must remain small or post-filter only.,execution_fit|execution_score|execution_penalty|buyable|shares_to_buy|cash_required|order_value
data_freshness,gate,hard_gate,must_pass,,,,official_gate,hard_gate_no_weight,latest_price_date / freshness_status / stale audit,Blocks execution when price or factor snapshot is stale.,Stale data makes all downstream scores unreliable.,Never allow high score to override stale data.,data_freshness|freshness_status|latest_price_date|price_date|stale_rows|fresh_rows
event_risk,gate,hard_gate_or_downgrade_gate,lower_is_better,,,,official_gate,hard_gate_or_downgrade_no_weight,event calendar / macro calendar / earnings calendar,"Freezes or downgrades new buys around CPI, NFP, FOMC, earnings, or major geopolitical events.",Event gaps can invalidate normal technical and factor signals.,"Event rule must show event name, date, severity, and action.",event_risk|event_risk_status|event_gate|event_calendar|macro_event|earnings_event
vix_regime,regime,market_regime,regime_based,,,,official_context,regime_switch_or_gate_context,VIX close / VIX regime classifier,"Classifies market into VIX_NORMAL, VIX_CAUTION, or VIX_STRESS.",Same signal has different reliability under different volatility regimes.,Regime thresholds must be explicit before weight switching.,vix_regime|vix_close|vix|market_regime
behavior_guard,gate,hard_gate,must_pass,,,,official_gate,hard_gate_no_weight,behavior guard report / decision state,"Blocks FOMO, chase-buying, stale-trigger execution, or impulse trades.","Most real losses come from poor timing, overtrading, and emotional execution.",Behavior block reason must be written in report.,behavior_guard|behavior_status|hard_block|fomo|discipline_status
budget_constraint,gate,hard_gate,must_pass,,,,official_gate,hard_gate_no_weight,cash / FX / order buffer / minimum share rule,Checks whether the account can execute a proposed order.,Unexecutable signals must not become official buy actions.,"Cash, FX, buffer, and share count must be auditable.",budget_constraint|cash_usd|cash_jpy|cash|budget|buy_permission|official_permission
position_cap,gate,risk_constraint,must_pass,,,,official_gate,risk_cap_no_weight,position state / proposed order / portfolio limits,"Prevents single-name, theme, high-beta, or daily cash usage from exceeding limits.",Portfolio survival requires concentration control.,Cap rule must state current exposure and limit.,position_cap|position_count|max_position|single_name_cap|daily_cash_cap|portfolio_cap
leveraged_etf_constraint,gate,risk_constraint,must_pass,,,,official_gate,risk_cap_no_weight,ticker class / ETF leverage flag / VIX regime,"Controls SOXL, TQQQ, and other leveraged ETF exposure.",Daily-reset leveraged ETFs have volatility decay and path dependency.,"Leveraged ETF permission must be explicit, especially under VIX_CAUTION/STRESS.",leveraged_etf_constraint|leveraged|is_leveraged|leverage_flag|soxl|tqqq
watch_positive,technical,shadow_signal,higher_is_better,0,0,0,shadow_only,none,technical timing dashboard,Positive watch state. Worth tracking but not an official buy.,Separates observable strength from executable signal.,Must remain shadow-only until forward return validates it.,watch_positive|technical_bucket|watch_state
pullback_watch,technical,shadow_signal,higher_is_better,0,0,0,shadow_only,none,technical timing dashboard,Ticker is near or entering a pullback-watch zone.,Strong assets may become attractive after controlled pullbacks.,Cannot become official buy without trigger and event/risk gates.,pullback_watch|technical_bucket|pullback_state
bb_squeeze,technical,shadow_signal,event_label,0,0,0,shadow_only,none,Bollinger Band width / technical timing dashboard,Bollinger Band compression indicates low-volatility compression.,"Volatility contraction can precede volatility expansion, but direction is unknown.",Must not be used as standalone buy signal.,bb_squeeze|bollinger_squeeze|bb_width|squeeze
breakout_continuation,technical,shadow_signal,higher_is_better,0,0,0,shadow_only,none,technical timing dashboard / breakout labels,Breakout appears to be continuing rather than failing.,Breakout follow-through can indicate demand absorbing supply.,Needs false-breakout audit under VIX_CAUTION.,breakout_continuation|breakout|continuation
exhaustion_risk,technical,shadow_risk_signal,lower_is_better,0,0,0,shadow_only,none,technical timing dashboard / overextension labels,Flags potential short-term upside exhaustion.,Late-stage momentum can reverse when marginal buyers are exhausted.,"Use as no-chase warning, not automatic sell.",exhaustion_risk|exhaustion|overextension
old_overheat,technical,shadow_risk_signal,lower_is_better,0,0,0,shadow_only,none,technical timing dashboard,Ticker has prior overheat condition that may still need digestion.,Old overheat can indicate crowded or already-consumed upside.,Must be validated with later forward returns.,old_overheat|overheat_history
rsi,technical,shadow_indicator,contextual,0,0,0,shadow_only,none,technical indicator calculation,Relative Strength Index. Measures recent up/down force balance.,Useful for overbought/oversold context but noisy in strong trends.,Cannot be standalone signal.,rsi|rsi_14|relative_strength_index
kdj,technical,shadow_indicator,contextual,0,0,0,shadow_only,none,technical indicator calculation,Stochastic oscillator variant measuring close location within recent range.,Useful for short-term overbought/oversold but noisy.,Cannot be standalone signal.,kdj|k_value|d_value|j_value|stochastic
gamma_squeeze,technical_derivatives,research_only,contextual,0,0,0,research_only,none,options open interest / option volume / dealer gamma estimate,Potential options-driven forced buying pressure.,Dealer hedging can amplify short-term moves when call exposure is concentrated.,Do not activate without real options data.,gamma_squeeze|dealer_gamma|option_gamma|call_oi|option_volume
forward_return_1d,validation,label,higher_is_better,,,,validation_label,none,forward return filler,One-trading-day forward return after signal snapshot.,Validates short-term signal quality.,Label only. Must never be available at decision time.,forward_return_1d|fwd_1d|return_1d|forward_1d_return|return_1d_pct
forward_return_5d,validation,label,higher_is_better,,,,validation_label,none,forward return filler,Five-trading-day forward return after signal snapshot.,Validates one-week signal quality.,Label only. Must never be available at decision time.,forward_return_5d|fwd_5d|return_5d|forward_5d_return|return_5d_pct
forward_return_10d,validation,label,higher_is_better,,,,validation_label,none,forward return filler,Ten-trading-day forward return after signal snapshot.,Validates short-swing signal quality.,Label only. Must never be available at decision time.,forward_return_10d|fwd_10d|return_10d|forward_10d_return|return_10d_pct
forward_return_20d,validation,label,higher_is_better,,,,validation_label,none,forward return filler,Twenty-trading-day forward return after signal snapshot.,Validates one-month factor alpha.,Label only. Must never be available at decision time.,forward_return_20d|fwd_20d|return_20d|forward_20d_return|return_20d_pct
earnings_quality,fundamental,future_extension,higher_is_better,0,0,0,not_official_yet,none,earnings data / guidance / revenue / margin,Assesses whether earnings support price strength.,Long-term price needs business confirmation.,Requires stable data source before official scoring.,earnings_quality|eps_growth|revenue_growth|guidance|margin
valuation_pressure,fundamental,future_extension,lower_is_better,0,0,0,not_official_yet,none,valuation data,Flags whether price already discounts too much future growth.,Good company can be a bad trade if expectations are extreme.,Requires transparent valuation metric and source.,valuation_pressure|pe|ps|ev_sales|peg|valuation
sector_theme_exposure,classification,portfolio_context,contextual,,,,context_only,portfolio_control,manual ticker map / sector map,"Classifies ticker into AI, semiconductor, CPO, cloud, storage, ETF, leverage, etc.",Prevents fake diversification from concentrated theme exposure.,Theme map must be explicit and manually auditable.,sector_theme_exposure|sector|theme|industry|asset_class|ticker_class
